Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency %,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,Brownlow Votes
Ben McEvoy,13.0,3.0,16.0,9.0,2.0,1.0,5.0,22.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,9.0,11.0,68.8,4.0,2.0,1.0,0.0,0.0,0.0,6.0,238.0,3.0,4.0,1.0,84.0,1,0
Jack Gunston,11.0,5.0,16.0,5.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,13.0,10.0,62.5,0.0,2.0,1.0,0.0,0.0,0.0,6.0,284.0,3.0,2.0,0.0,83.0,1,0
James Cousins,10.0,6.0,16.0,2.0,0.0,1.0,4.0,0.0,0.0,8.0,1.0,3.0,1.0,2.0,2.0,5.0,11.0,12.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,396.0,4.0,2.0,1.0,60.0,1,0
James Frawley,8.0,5.0,13.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,8.0,11.0,84.6,0.0,0.0,6.0,0.0,0.0,0.0,1.0,325.0,2.0,4.0,0.0,96.0,1,0
Luke Breust,9.0,4.0,13.0,5.0,5.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,6.0,8.0,61.5,2.0,3.0,0.0,0.0,0.0,1.0,6.0,338.0,1.0,0.0,1.0,82.0,1,2
Benjamin Stratton,6.0,7.0,13.0,5.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,8.0,12.0,92.3,1.0,0.0,3.0,0.0,0.0,0.0,1.0,106.0,1.0,7.0,0.0,91.0,1,0
Jonathon Ceglar,4.0,7.0,11.0,4.0,0.0,1.0,5.0,17.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,5.0,6.0,10.0,90.9,0.0,0.0,3.0,0.0,2.0,0.0,4.0,114.0,0.0,3.0,2.0,81.0,1,0
Conor Nash,9.0,2.0,11.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,6.0,6.0,7.0,63.6,0.0,1.0,3.0,0.0,0.0,0.0,2.0,295.0,5.0,1.0,1.0,71.0,1,0
Paul Puopolo,4.0,6.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,4.0,5.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,1.0,1.0,0.0,82.0,1,0
Chad Wingard,9.0,1.0,10.0,3.0,3.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0,6.0,5.0,6.0,60.0,1.0,2.0,0.0,0.0,0.0,2.0,5.0,301.0,3.0,2.0,1.0,79.0,1,0
Harry Morrison,6.0,4.0,10.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,70.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,174.0,3.0,0.0,3.0,78.0,1,0
Dylan Moore,2.0,7.0,9.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,55.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,2.0,1.0,1.0,65.0,1,0
Shaun Higgins,19.0,17.0,36.0,5.0,1.0,0.0,3.0,0.0,0.0,9.0,2.0,3.0,3.0,1.0,0.0,7.0,27.0,28.0,77.8,0.0,0.0,0.0,1.0,2.0,0.0,9.0,746.0,7.0,6.0,0.0,82.0,0,3
Ben Cunnington,6.0,27.0,33.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,10.0,2.0,0.0,4.0,1.0,23.0,10.0,26.0,78.8,1.0,0.0,1.0,0.0,2.0,8.0,7.0,106.0,2.0,5.0,0.0,82.0,0,0
Jamie MacMillan,14.0,14.0,28.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,7.0,20.0,21.0,75.0,0.0,0.0,5.0,1.0,0.0,1.0,2.0,284.0,6.0,6.0,0.0,92.0,0,0
Shaun Atley,16.0,11.0,27.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,7.0,0.0,1.0,6.0,21.0,17.0,63.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,296.0,5.0,4.0,0.0,91.0,0,0
Scott Thompson,15.0,10.0,25.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,1.0,1.0,5.0,16.0,21.0,84.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,498.0,4.0,8.0,0.0,94.0,0,0
Jasper Pittard,16.0,9.0,25.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,4.0,21.0,22.0,88.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,376.0,4.0,5.0,0.0,87.0,0,0
Jack Ziebell,13.0,11.0,24.0,6.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,4.0,1.0,3.0,0.0,12.0,12.0,14.0,58.3,2.0,3.0,0.0,0.0,1.0,2.0,8.0,223.0,3.0,0.0,1.0,89.0,0,0
Trent Dumont,14.0,9.0,23.0,8.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,18.0,16.0,69.6,0.0,1.0,0.0,0.0,0.0,3.0,9.0,289.0,1.0,3.0,1.0,79.0,0,0
Robbie Tarrant,14.0,7.0,21.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,4.0,18.0,17.0,81.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,351.0,5.0,5.0,0.0,91.0,0,0
Dom Tyson,9.0,12.0,21.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,2.0,7.0,14.0,18.0,85.7,0.0,0.0,1.0,0.0,1.0,2.0,4.0,208.0,4.0,4.0,0.0,70.0,0,0
Jared Polec,15.0,4.0,19.0,6.0,1.0,0.0,2.0,0.0,1.0,6.0,3.0,3.0,1.0,0.0,0.0,5.0,14.0,14.0,73.7,0.0,1.0,2.0,0.0,1.0,2.0,3.0,377.0,8.0,3.0,0.0,86.0,0,0
Jy Simpkin,7.0,10.0,17.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,7.0,9.0,12.0,70.6,0.0,0.0,1.0,0.0,0.0,1.0,5.0,229.0,1.0,2.0,1.0,85.0,0,0
Aaron Hall,10.0,6.0,16.0,1.0,1.0,3.0,6.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,8.0,8.0,11.0,68.8,0.0,0.0,0.0,1.0,0.0,3.0,6.0,386.0,4.0,2.0,1.0,67.0,0,0
Todd Goldstein,2.0,13.0,15.0,3.0,0.0,0.0,0.0,28.0,0.0,1.0,4.0,3.0,2.0,1.0,0.0,6.0,9.0,12.0,80.0,0.0,0.0,7.0,0.0,2.0,2.0,5.0,88.0,3.0,4.0,0.0,86.0,0,0
Luke McDonald,5.0,7.0,12.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,6.0,6.0,10.0,83.3,1.0,0.0,3.0,0.0,0.0,0.0,1.0,107.0,3.0,6.0,0.0,85.0,0,0
Bailey Scott,5.0,7.0,12.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,10.0,10.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,181.0,1.0,1.0,0.0,73.0,0,0
Luke D-Uniacke,5.0,4.0,9.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,4.0,6.0,8.0,88.9,0.0,0.0,2.0,1.0,0.0,1.0,4.0,192.0,2.0,0.0,0.0,66.0,0,0
Tarryn Thomas,6.0,2.0,8.0,4.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,4.0,5.0,62.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,122.0,2.0,1.0,0.0,75.0,0,0
Tom Campbell,4.0,3.0,7.0,2.0,0.0,1.0,2.0,10.0,0.0,2.0,2.0,4.0,0.0,1.0,2.0,5.0,3.0,4.0,57.1,0.0,1.0,2.0,0.0,0.0,2.0,3.0,118.0,3.0,0.0,0.0,81.0,0,0
Ben Brown,4.0,3.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,57.1,1.0,2.0,1.0,0.0,0.0,0.0,4.0,99.0,1.0,0.0,0.0,96.0,0,0
Kayne Turner,3.0,3.0,6.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,3.0,5.0,83.3,2.0,2.0,0.0,0.0,0.0,0.0,5.0,124.0,2.0,2.0,0.0,85.0,0,0
Ben McKay,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,100.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,60.0,0,0
