Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Luke Shuey,13.0,14.0,27.0,4.0,1.0,0.0,6.0,0.0,0.0,4.0,7.0,2.0,1.0,2.0,0.0,13.0,13.0,20.0,0.0,0.0,0.0,3.0,1.0,6.0,5.0,444.0,6.0,4.0,0.0,88.0,1,Away,2,4.0,4.0,6.0,5.0,7.0
Dominic Sheed,16.0,7.0,23.0,2.0,1.0,0.0,3.0,0.0,0.0,4.0,6.0,8.0,2.0,0.0,2.0,9.0,14.0,14.0,0.0,0.0,0.0,2.0,5.0,1.0,8.0,463.0,6.0,2.0,0.0,88.0,1,Away,0,2.0,2.0,3.0,8.0,9.0
Jeremy McGovern,14.0,5.0,19.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,0.0,2.0,9.0,10.0,15.0,4.0,0.0,5.0,0.0,0.0,1.0,4.0,318.0,2.0,11.0,0.0,85.0,1,Away,0,6.0,10.0,0.0,4.0,4.0
Elliot Yeo,12.0,7.0,19.0,3.0,1.0,0.0,7.0,0.0,1.0,2.0,5.0,2.0,3.0,0.0,1.0,9.0,10.0,11.0,0.0,0.0,3.0,0.0,1.0,4.0,7.0,265.0,6.0,2.0,0.0,91.0,1,Away,0,3.0,3.0,7.0,6.0,8.0
Jack Darling,13.0,5.0,18.0,7.0,3.0,1.0,3.0,0.0,0.0,3.0,1.0,3.0,1.0,3.0,1.0,11.0,8.0,13.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,314.0,6.0,2.0,2.0,93.0,1,Away,0,4.0,4.0,1.0,6.0,5.0
Scott Lycett,6.0,12.0,18.0,4.0,0.0,0.0,3.0,20.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,10.0,8.0,13.0,0.0,0.0,4.0,0.0,3.0,1.0,5.0,65.0,2.0,1.0,1.0,64.0,1,Away,0,4.0,4.0,2.0,4.0,5.0
Liam Duggan,12.0,6.0,18.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,5.0,14.0,16.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,372.0,2.0,4.0,0.0,88.0,1,Away,0,6.0,6.0,0.0,5.0,2.0
Chris Masten,10.0,7.0,17.0,7.0,0.0,0.0,5.0,0.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,13.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,227.0,2.0,4.0,0.0,86.0,1,Away,0,7.0,7.0,5.0,4.0,1.0
Mark Lecras,15.0,1.0,16.0,2.0,1.0,2.0,4.0,0.0,0.0,7.0,1.0,0.0,0.0,3.0,0.0,8.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,470.0,1.0,2.0,1.0,89.0,1,Away,0,2.0,2.0,3.0,8.0,9.0
Jamie Cripps,7.0,8.0,15.0,5.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,11.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,231.0,1.0,1.0,3.0,86.0,1,Away,0,5.0,4.0,1.0,5.0,5.0
Jake Waterman,8.0,6.0,14.0,5.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,237.0,1.0,0.0,3.0,72.0,1,Away,0,5.0,4.0,1.0,7.0,1.0
Lewis Jetta,9.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,10.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,173.0,4.0,1.0,0.0,66.0,1,Away,0,4.0,5.0,0.0,3.0,1.0
Tom Cole,8.0,4.0,12.0,1.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,0.0,6.0,7.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,184.0,3.0,8.0,0.0,87.0,1,Away,0,1.0,1.0,10.0,2.0,4.0
Bradley Sheppard,10.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,10.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,162.0,3.0,2.0,0.0,91.0,1,Away,0,7.0,7.0,0.0,1.0,3.0
Willie Rioli,6.0,3.0,9.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,143.0,2.0,1.0,2.0,69.0,1,Away,0,3.0,3.0,0.0,4.0,3.0
Nicholas Naitanui,4.0,4.0,8.0,1.0,0.0,1.0,2.0,32.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,5.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,204.0,2.0,2.0,0.0,61.0,1,Away,0,1.0,1.0,2.0,2.0,4.0
Joshua Kennedy,5.0,2.0,7.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,6.0,156.0,3.0,0.0,0.0,80.0,1,Away,0,4.0,0.0,0.0,6.0,1.0
Tom Barrass,6.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,4.0,4.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,82.0,1.0,4.0,0.0,84.0,1,Away,0,2.0,3.0,1.0,2.0,0.0
Jack Petruccelle,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,60.0,2.0,2.0,0.0,65.0,1,Away,0,1.0,1.0,1.0,1.0,1.0
