Player,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Goal Assists,Inside 50s,Clearances,Clangers,Rebound 50s,Frees For,Frees Agains,Contested Possessions,Uncontested Possessions,Effective Disposals,Contested Marks,Marks Inside 50,One Percenters,Bounces,Centre Clearances,Stoppage Clearances,Score Involvements,Metres Gained,Turnovers,Intercepts,Tackles Inside 50,Time On Ground %,Winloss,HomeAway,Brownlow Votes,Uncontested Marks,Marks Outside 50,Tackles Outside 50,Behind Assists,Ineffective Disposals
Andrew Brayshaw,12.0,20.0,32.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,9.0,22.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,409.0,4.0,3.0,0.0,81.0,1,Away,0,9.0,9.0,3.0,9.0,6.0
Nathan Fyfe,12.0,19.0,31.0,6.0,1.0,1.0,3.0,0.0,1.0,5.0,3.0,2.0,0.0,0.0,1.0,10.0,21.0,20.0,1.0,1.0,0.0,0.0,2.0,1.0,12.0,402.0,3.0,2.0,0.0,86.0,1,Away,0,5.0,5.0,3.0,11.0,11.0
David Mundy,18.0,12.0,30.0,4.0,2.0,0.0,3.0,0.0,1.0,6.0,6.0,7.0,0.0,2.0,3.0,10.0,23.0,25.0,0.0,0.0,3.0,0.0,2.0,4.0,10.0,452.0,5.0,2.0,1.0,63.0,1,Away,3,4.0,4.0,2.0,9.0,5.0
Caleb Serong,15.0,15.0,30.0,3.0,0.0,0.0,4.0,0.0,1.0,8.0,10.0,4.0,1.0,0.0,0.0,17.0,14.0,20.0,0.0,1.0,1.0,0.0,3.0,7.0,8.0,388.0,4.0,5.0,1.0,73.0,1,Away,0,3.0,2.0,3.0,7.0,10.0
Adam Cerra,16.0,10.0,26.0,4.0,0.0,1.0,0.0,0.0,3.0,6.0,3.0,3.0,1.0,1.0,0.0,10.0,17.0,16.0,0.0,0.0,2.0,0.0,1.0,2.0,7.0,409.0,6.0,5.0,0.0,75.0,1,Away,1,4.0,4.0,0.0,4.0,10.0
Sean Darcy,11.0,14.0,25.0,9.0,0.0,0.0,2.0,27.0,0.0,4.0,5.0,4.0,5.0,2.0,1.0,16.0,10.0,22.0,6.0,0.0,4.0,0.0,1.0,4.0,6.0,486.0,5.0,9.0,1.0,85.0,1,Away,0,3.0,9.0,1.0,6.0,3.0
Luke Ryan,19.0,4.0,23.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,3.0,12.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,666.0,1.0,3.0,0.0,86.0,1,Away,0,6.0,6.0,1.0,3.0,2.0
Michael Walters,13.0,8.0,21.0,4.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,2.0,7.0,13.0,15.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,337.0,5.0,6.0,0.0,84.0,1,Away,0,3.0,4.0,1.0,6.0,6.0
Nathan Wilson,9.0,7.0,16.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,1.0,3.0,6.0,10.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,344.0,4.0,8.0,0.0,81.0,1,Away,0,2.0,2.0,1.0,5.0,3.0
James Aish,11.0,5.0,16.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,5.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,296.0,4.0,3.0,0.0,82.0,1,Away,0,1.0,1.0,2.0,3.0,5.0
Lachlan Schultz,7.0,8.0,15.0,4.0,0.0,1.0,4.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,1.0,7.0,8.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,360.0,4.0,2.0,2.0,81.0,1,Away,0,4.0,4.0,2.0,5.0,6.0
Blake Acres,8.0,6.0,14.0,3.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,11.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,289.0,2.0,1.0,0.0,83.0,1,Away,0,3.0,3.0,1.0,3.0,3.0
Sam Switkowski,9.0,5.0,14.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,7.0,244.0,2.0,3.0,0.0,68.0,1,Away,0,5.0,4.0,0.0,6.0,2.0
Rory Lobb,10.0,3.0,13.0,8.0,4.0,3.0,2.0,5.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,8.0,6.0,7.0,3.0,5.0,2.0,0.0,1.0,1.0,9.0,240.0,1.0,0.0,1.0,93.0,1,Away,2,5.0,3.0,1.0,9.0,6.0
Griffin Logue,8.0,5.0,13.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,10.0,12.0,2.0,0.0,11.0,1.0,0.0,0.0,4.0,88.0,2.0,7.0,0.0,96.0,1,Away,0,7.0,9.0,3.0,4.0,1.0
Bailey Banfield,8.0,5.0,13.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,6.0,8.0,10.0,0.0,1.0,4.0,0.0,0.0,1.0,8.0,195.0,2.0,3.0,1.0,85.0,1,Away,0,3.0,2.0,1.0,8.0,3.0
Josh Treacy,8.0,3.0,11.0,7.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,7.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,198.0,5.0,0.0,6.0,91.0,1,Away,0,7.0,3.0,0.0,7.0,6.0
Alex Pearce,4.0,6.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,6.0,4.0,8.0,1.0,0.0,7.0,0.0,0.0,0.0,2.0,242.0,2.0,5.0,0.0,92.0,1,Away,0,0.0,1.0,1.0,1.0,2.0
Darcy Tucker,5.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,184.0,2.0,3.0,0.0,84.0,1,Away,0,1.0,1.0,1.0,2.0,2.0
Liam Henry,9.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,2.0,5.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,228.0,5.0,1.0,1.0,71.0,1,Away,0,1.0,1.0,0.0,4.0,7.0
Brandon Walker,4.0,5.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,159.0,3.0,5.0,0.0,78.0,1,Away,0,2.0,2.0,1.0,2.0,5.0
Travis Colyer,7.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,7.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,250.0,1.0,1.0,0.0,80.0,1,Away,0,3.0,3.0,0.0,3.0,0.0
